great,feedback,1.0,1.0
The service was excellent.,The service was excellent.,,
bad experience, bad experience,,
worst of worst,worst of worst,,
"Overall, it was a pleasant experience with minor issues.","Overall, it was a pleasant experience with minor issues.",,
My flight was delayed by 4 hours and I received no updates. Very disappointing.,My flight was delayed by 4 hours and I received no updates. Very disappointing.,,
The experience I felt in ur service was amazing just arrived here to give my feedback,The experience I felt in ur service was amazing just arrived here to give my feedback,,
I had a bad experience,I had a bad experience,,
The flight was on time,The flight was on time,,
The flight magazine was available,The flight magazine was available,,
My luggage was checked in at the counter,My luggage was checked in at the counter,,
Thankyou for the services,Thankyou for the services,,
Had a great experience with your platform,Had a great experience with your platform,,
Very bad experience could have improved,Very bad experience could have improved,,
Very great experience keep it up,Very great experience keep it up,,
Bad and worst experience,Bad and worst experience,,
Mind-blowing experience,Mind-blowing experience,,
Nice service,Nice service,,
Bad experience on the service,Bad experience on the service,,
"The flight was fantastic! The staff was friendly, and the service was excellent.","The flight was fantastic! The staff was friendly, and the service was excellent.",,
Great experience,Great experience,,
Not good,Not good,,
